"rule_id","zh_cn"
"0",""
"4724","登录路由器失败。"
"2901","要求安装新的 dpkg（Debian 软件包）。"
"2902","安装了新的 dpkg（Debian 软件包）。"
"2903","删除了 Dpkg（Debian 软件包）。"
"53700","PSAD组"
"53701","检测到PSAD组扫描"
"53702","PSAD 组添加了 iptables"
"53711","PSAD端口扫描"
"53712","PSAD 自动封锁"
"53713","PSAD 3 级警告"
"53714","来自同一来源的许多 PSAD 3 级警告"
"53715","来自同一来源的许多 PSAD 3 级警告（慢速扫描）"
"53716","PSAD签名匹配"
"4800","SonicWall 消息分组。"
"4801","SonicWall 关键消息。"
"4802","SonicWall 关键消息。"
"4803","SonicWall 错误消息。"
"4804","SonicWall 警告消息。"
"4805","SonicWall 通知消息。"
"4806","SonicWall 信息性消息。"
"4807","SonicWall 调试消息。"
"4810","防火墙管理员登录。"
"4811","防火墙认证失败。"
"4850","多个防火墙警告消息。"
"4851","多个防火墙错误消息。"
"3500","针对垃圾邮件规则进行分组"
"3501","SPAMD 结果消息（在这里不是很有用）。"
"3502","垃圾邮件调试事件（阅读消息）。"
"3900","按快递规则分组。"
"3901","新快递（imap/pop3）连接。"
"3902","Courier (imap/pop3) 认证失败。"
"3903","快递注销/超时。"
"3904","Courier (imap/pop3) 认证成功。"
"3910","Courier 暴力破解（多次登录失败）。"
"3911","来自同一来源的多次连接尝试。"
"52000","服装分组"
"52001","忽略允许或状态"
"52002","Apparmor 被拒绝"
"52003","Apparmor DENIED exec 操作。"
"52004","Apparmor 拒绝 mknod 操作。"
"6100","Solaris BSM 审计消息分组。"
"6101","审核会话失败。"
"6102","审核会议成功。"
"6103","登录会话成功。"
"6104","登录会话失败。"
"6105","用户成功更改了 UID。"
"6106","用户无法更改 UID（用户 ID）。"
"53200","NSD 分组。"
"53201","nsd 配置中的语法错误。"
"53202","nsd 配置中的语法错误。"
"53203","nsd 统计"
"53204","无法绑定到套接字。"
"53205","nsd 已经在运行。"
"53206","通知未实施。"
"53207","区域文件读取错误。"
"53208","错误分组。"
"53209","区域转移未实施。"
"53210","tcp 连接重置。"
"53211","未配置尝试的区域传输。"
"53212","服务器不是区域传输的权威。"
"6200","星号消息分组。"
"6201","星号通知消息分组。"
"6202","星号警告消息。"
"6203","星号错误消息。"
"6210","登录会话失败。"
"6211","登录会话失败（无效用户）。"
"6212","登录会话失败（无效的扩展名）。"
"6250","多次登录失败（正在进行用户枚举）。"
"6251","多次登录失败。"
"6252","扩展枚举。"
"6253","登录会话失败（无效的 iax 用户）。"
"6254","扩展 IAX 枚举。"
"6255","可能的注册劫持。"
"6256","IAX 对等方密码错误。"
"6257","多次登录失败。"
"6258","登录会话失败（无效的扩展名）。"
"56201","FastCGI 错误消息。"
"40101","系统用户成功登录系统。"
"40102","对rpc.statd的缓冲区溢出攻击"
"40103","2.6 之前的 WU-FTPD 版本上的缓冲区溢出"
"40104","可能的缓冲区溢出尝试。"
"40105","Null 用户更改了一些信息。"
"40106","缓冲区溢出尝试（可能在 yppasswd 上）。"
"40107","Solaris cachefsd 服务中的堆溢出。"
"40109","堆栈溢出尝试或程序退出 SEGV (Solaris)。"
"40111","多次身份验证失败。"
"40112","在一次成功后多次身份验证失败。"
"40113","检测到多种病毒 - 可能爆发。"
"9400","圆形立方体消息分组。"
"9401","圆形立方体身份验证失败。"
"9402","Roundcube 身份验证成功。"
"9403","Roundcube 蛮力（多次登录失败）。"
"4700","Cisco IOS 规则的分组。"
"4710","Cisco IOS 紧急消息。"
"4711","Cisco IOS 警报消息。"
"4712","Cisco IOS 关键消息。"
"4713","Cisco IOS 错误消息。"
"4714","Cisco IOS 警告消息。"
"4715","Cisco IOS 通知消息。"
"4716","Cisco IOS 信息性消息。"
"4717","Cisco IOS 调试消息。"
"4721","Cisco IOS 路由器配置已更改。"
"4722","成功登录路由器。"
"4724","登录路由器失败。"
"31300","Nginx 消息分组。"
"31301","Nginx 错误消息。"
"31302","Nginx 警告消息。"
"31303","Nginx 关键信息。"
"31310","服务器返回 404（在 access.log 中报告）。"
"31311","不完整的客户请求。"
"31312","初始 401 身份验证请求。"
"31315","Web 身份验证失败。"
"31316","多个网络身份验证失败。"
"31317","删除文件时的常见缓存错误。"
"31320","无效的 URI，文件名太长。"
"13100","smbd 规则的分组。"
"13101","Samba 网络问题。"
"13102","Samba 连接被拒绝。"
"13103","Samba 网络问题。"
"13104","配置拒绝用户操作。"
"13105","Samba 网络问题（无法连接）。"
"13106",
"13108","已尝试启动 smbd，但该进程已在运行。"
"13109","已尝试启动 nmbd，但该进程已在运行。"
"13110","连接被拒绝。"
"13111","套接字未连接，写入失败。"
"13112","gvfs-smb 中的段错误。"
"11300","为纯 ftpd 规则分组。"
"11301","新的 FTP 连接。"
"11302","FTP 验证失败。"
"11303","FTP 用户注销/超时"
"11304","FTP 通知消息"
"11305","尝试访问无效目录"
"11306","FTP 暴力破解（多次登录失败）。"
"11307","来自同一来源的多次连接尝试。"
"11309","FTP 认证成功。"
"11310","纯 ftpd 传输的规则分组。"
"11311","文件已添加到 ftpd。"
"11312","从 ftpd 检索的文件。"
"11200","proftpd 规则的分组。"
"11201","FTP 会话已打开。"
"11202","FTP 会话已关闭。"
"11203","尝试使用不存在的用户登录。"
"11204","登录访问FTP服务器失败"
"11205","FTP 认证成功。"
"11206","连接被 ProFTPD 配置拒绝。"
"11207","连接被 TCP 包装器拒绝。"
"11208","配置文件中的小被动端口范围服务器配置错误。"
"11209","尝试绕过不能充分的防火墙保持 FTP 流量状态。"
"11210","多次登录尝试失败。"
"11211","服务器主机名不匹配。"
"11212","反向查找错误（错误的 ISP 配置）。"
"11213","远程主机连接到 FTP 服务器。"
"11214","由于不活动，远程主机断开连接。"
"11215","由于登录超时，远程主机断开连接。"
"11216","由于超时，远程主机断开连接。"
"11217","数据传输停止。"
"11218","FTP 进程崩溃。"
"11219","FTP 服务器缓冲区溢出尝试。"
"11220","无法绑定到地址。"
"11221","IPv6 错误和模组延迟信息（忽略）。"
"11222","无法打开传入连接,检查日志消息以了解原因。"
"11251","FTP 暴力破解（多次登录失败）。"
"11252","来自同一来源的多次连接尝试。"
"11253","来自同一来源的多次超时登录。"
"9700","Dovecot 消息分组。"
"9701","Dovecot 身份验证成功。"
"9702","Dovecot 身份验证失败。"
"9703","Dovecot 正在启动。"
"9704","Dovecot 致命的失败。"
"9705","Dovecot 用户登录尝试无效。"
"9706","Dovecot 会话已断开连接。"
"9707","Dovecot 中止登录。"
"9750","Dovecot 多次身份验证失败。"
"9751","Dovecot 蛮力攻击（多次身份验证失败）。"
"9770","dovecot-info 分组。"
"9771","Dovecot 用户登录尝试无效。"
"13000","Exim SMTP 邮件分组。"
"13001","已分组的 dovecot 消息。"
"13006","进出口认证失败"
"13007","Exim 蛮力攻击（多次身份验证失败）。"
"13008","进出口连接"
"13009","进出口连接丢失"
"13010","Exim 语法或协议错误"
"4500","Netscreen 防火墙规则的分组"
"4501","网屏通知消息。"
"4502","网络屏幕警告消息。"
"4503","Netscreen 严重/警报消息。"
"4513","Netscreen 严重/警报消息。"
"4504","Netscreen 信息性消息。"
"4505","Netscreen Erase 序列开始。"
"4506","成功管理员登录到 Netscreen 防火墙"
"4507","成功管理员登录到 Netscreen 防火墙"
"4508","防火墙策略已更改。"
"4509","防火墙配置已更改。"
"4550","来自相同的源IP的多个 Netscreen 关键消息"
"4551","多个 Netscreen 关键消息。"
"4552","来自相同的源IP的多个 Netscreen 警报消息"
"4553","多个 Netscreen 警报消息。"
"4560","netscreen 检测到 SYN 泛洪。"
"3700","邮件扫描程序规则的分组。"
"3701","非垃圾邮件。忽略。"
"3702","检测到邮件扫描程序垃圾邮件。"
"3751","多次尝试垃圾邮件。"
"3752","忽略"
"14200","Cisco VPN 集中器规则的分组"
"14201","VPN 认证成功。"
"14202","VPN 认证失败。"
"14203","VPN 管理员身份验证成功。"
"14251","多个 VPN 身份验证失败。"
"53551","dnsmasq 分组规则。"
"50100","MySQL 消息分组。"
"50105","数据库认证成功。"
"50106","数据库认证失败。"
"50107","数据库查询。"
"50108","用户与数据库断开连接。"
"50120","数据库关闭消息。"
"50121","数据库启动消息。"
"50125","数据库错误。"
"50126","数据库致命错误。"
"50180","多个数据库错误。"
"5500","pam_unix 规则的分组。"
"5501","登录会话已打开。"
"5502","登录会话已关闭。"
"5503","用户登录失败。"
"5504","尝试使用无效用户登录。"
"5521","Ubuntu/debian cron 登录事件"
"5522","Ubuntu/debian cron 登录事件"
"5523","使用用户或密码忽略事件。"
"5551","短时间内多次登录失败。"
"5552","PAM 和 gdm 的表现不佳。"
"5553","PAM 配置错误。"
"5554","PAM 配置错误。"
"5555","用户更改了密码。"
"5556","unix_chkpwd 分组。"
"5557","密码检查失败。"
"5600","为 telnetd 规则分组"
"5601","连接被 TCP 包装器拒绝。"
"5602","远程主机建立了 telnet 连接。"
"5603","远程主机无效连接。"
"5604","反向查找错误（错误的主机名配置）。"
"5631","来自同一来源的多次连接尝试（可能的扫描）。"
"53000","dhcpd 分组。"
"53001","正常的 dhcp。"
"53003","主机发布了一个版本，但正在响应 ping。"
"53004","配置错误。"
"53005","dhcpd 正在退出。"
"53006","dhcpd 无法侦听接口。"
"53007","dhcpd 未配置为侦听接口。"
"53008","dhcpd 已启动。"
"53009","带有地址范围的消息。"
"53010","定义的地址范围不在配置的网络上。"
"53011","DHCP 服务器的租用已用完。"
"53013","多次确认。"
"17101","非工作时间成功登录。"
"17102","周末登录成功。"
"31501","WordPress 垃圾评论（来自虚假搜索引擎 UA）。"
"31502","TimThumb 漏洞利用尝试。"
"31503","osCommerce login.php 绕过尝试。"
"31504","osCommerce 文件管理器 login.php 绕过尝试。"
"31505","TimThumb 后门访问尝试。"
"31506","Cart.php 目录遍历尝试"
"31507","MSSQL 注入尝试（ur.php、urchin.js）。"
"31508","列入黑名单的用户代理（已知的恶意用户代理）。"
"31509","CMS（WordPress 或 Joomla）登录尝试。"
"31510","CMS（WordPress 或 Joomla）暴力尝试。"
"31511","列入黑名单的用户代理（wget）。"
"31512","上传漏洞利用尝试。"
"31513","BBS delete.php 漏洞利用尝试。"
"31514","简单的shell.php命令执行。"
"31515","PHPMyAdmin 扫描（寻找 setup.php）。"
"31516","可疑的 URL 访问。"
"31530","收到 POST 请求。"
"31531","忽略 /wp-admin 和 /admin 中经常发布的请求。"
"31533","短时间内的大量 POST 请求（可能是机器人）。"
"31550","异常 URL 查询（尝试传递空终止）。"
"51000","分组放置规则。"
"51001","获取密钥交换值失败"
"51002","过早的 kexdh_init 消息"
"51003","错误的密码尝试。"
"51093","不存在用户的错误密码尝试。"
"51004","dropbear 蛮力尝试。"
"51005","用户断开连接。"
"51006","客户端在身份验证之前退出。"
"51007","dropbear 蛮力尝试。"
"51008","不兼容的远程版本。"
"51009","用户使用密码成功登录。"
"51010","用户使用公钥成功登录。"
"51011","Dropbear 无法监听端口。"
"31401","PHP 警告消息。"
"31402","PHP 致命错误。"
"31403","PHP 解析错误。"
"31404","PHP 警告消息。"
"31405","PHP 致命错误。"
"31406","PHP 解析错误。"
"31410","PHP 警告消息。"
"31411","PHP 网络攻击。"
"31412","PHP 内部错误（缺少文件）。"
"31413","PHP 内部错误（服务器空间不足）。"
"31420","PHP 致命错误。"
"31421","PHP 内部错误（缺少文件或函数）。"
"31430","PHP 解析错误。"
"9500","Wordpress 消息分组。"
"9501","Wordpress 身份验证失败。"
"9502","Wordpress 身份验证成功。"
"9503","WPsyslog 已成功初始化。"
"9504","Wordpress 插件已停用。"
"9505","Wordpress 评论泛滥尝试。"
"9510","检测到对 Wordpress 的攻击。"
"9551","多个 wordpress 身份验证失败。"
"3100","sendmail 规则的分组。"
"3101","sendmail 拒绝规则的分组。"
"3102","发件人域没有任何有效的MX记录（请求的操作已中止）。"
"3103","被访问列表拒绝（55x：未采取请求的操作）。"
"3104","尝试使用邮件服务器作为中继（550：未采取请求的操作）。"
"3105","未找到发件人域（553：未采取请求的操作）。"
"3106","发件人地址没有域（553：未采取请求的操作）。"
"3107","发送邮件被拒绝的消息。"
"3108","由于预先问候，发送邮件被拒绝。"
"3109","Sendmail 保存邮件恐慌。"
"3151","发件人域有虚假的 MX 记录它不应该发送电子邮件。"
"3152","多次尝试从一个之前被拒绝的发件人（访问）发送电子邮件。"
"3153","垃圾邮件的多次中继尝试。"
"3154","多次尝试发送电子邮件来自无效/未知发件人域。"
"3155","多次尝试从无效/未知发件人发送电子邮件。"
"3156","来自同一源 IP 的多个被拒绝的电子邮件。"
"3158","多次预问候拒绝。"
"3190","smf-sav sendmail milter 规则的分组。"
"3191","SMF-SAV sendmail milter 无法验证地址（拒绝）。"
"20500","Windows PowerShell 已启动。"
"20501","Windows PowerShell 命令已执行。"
"20502","Windows PowerShell 已停止。"
"20503","尝试了错误/拼写错误的命令"
"20504","Powershell 后台活动"
"20505","可能检测到危险命令（https://gist.github.com/gfoss/2b39d680badd2cad9d82#file-powershell-command-line-logging）"
"53600","Linux USB 检测消息分组"
"53601","系统发现了一个新的 USB 设备"
"53602","新的低速 USB 设备已连接。"
"53603","新的高速 USB 设备已连接"
"53604","USB 设备已断开连接"
"53500","OpenSMTPd 分组。"
"53501","消息失败。"
"53502","新会话已创建。"
"53503","会议结束。"
"53504","消息已接受。"
"53505","电子邮件已送达。"
"53506","不支持 SMTP 命令。"
"53507","OpenSMTPd：无 SSL"
"53508","服务器 TLS 证书验证失败。"
"52500","蛤蜊规则的分组。"
"52501","ClamAV 数据库更新"
"52502","检测到病毒"
"52503","Clamd 错误"
"52504","尖锐警告"
"52505","Clamd 重新启动"
"52506","Clamd 数据库已更新"
"52507","ClamAV 数据库更新"
"52508","ClamAV 数据库更新"
"52509","无法下载增量病毒定义更新。"
"9800","vm-pop3d 规则的分组。"
"9801","登录访问pop3服务器失败。"
"9820","POP3 暴力破解（多次登录失败）。"
"500","ossec 规则的分组。"
"501","新的 ossec 代理已连接。"
"502","Ossec 服务器已启动。"
"503","Ossec 代理启动。"
"504","Ossec 代理断开连接。"
"509","Rootcheck 事件。"
"510","基于主机的异常检测事件（rootcheck）。"
"511","忽略了常见的 NTFS ADS 条目。"
"512","Windows 审核事件。"
"513","检测到 Windows 恶意软件。"
"514","Windows 应用程序监视器事件。"
"515","忽略 rootcheck/syscheck 扫描消息。"
"516","系统审计事件。"
"518","发现 Windows 广告软件/间谍软件应用程序。"
"519","系统审计：发现易受攻击的 Web 应用程序。"
"530","OSSEC 进程监控规则。"
"531","分区使用率达到 100%（磁盘空间监控）。"
"532","忽略外部媒体。"
"533","侦听的端口状态 (netstat) 已更改（新端口打开或关闭）。"
"534","已登录用户列表。默认情况下不会发出警报。"
"535","最后登录的用户列表。"
"550","完整性校验和已更改。"
"551","完整性校验和再次更改（第二次）。"
"552","完整性校验和再次更改（第三次）。"
"553","文件已删除。无法检索校验和。"
"554","文件已添加到系统中。"
"555","无代理设备的完整性校验和已更改。"
"580","主机信息已更改。"
"581","添加了主机信息。"
"591","日志文件轮换。"
"592","日志文件大小减少。"
"593","Microsoft 事件日志已清除。"
"594","注册表完整性校验和已更改"
"595","注册表完整性校验和再次更改（第二次）"
"596","注册表完整性校验和再次更改（第 3 次）"
"597","注册表项已删除。无法检索校验和"
"598","注册条目添加到系统"
"600","分组的主动响应消息"
"601","主机被 firewall-drop.sh 主动响应阻止"
"602","主机被 firewall-drop.sh 主动响应解除阻止"
"603","主机被 host-deny.sh 主动响应阻止"
"604","主机被 host-deny.sh 主动响应解除阻止"
"605","主机被 route-null.sh 主动响应阻止"
"606","主机被 route-null.sh 主动响应解除阻塞"
"700","日志收集器消息分组"
"701","忽略信息性消息（通常在启动时）"
"53400","pvedaemon 消息分组。"
"53401","Proxmox VE 身份验证失败。"
"53402","Proxmox VE 暴力破解（多次登录失败）。"
"53403","Proxmox VE 身份验证成功。"
"40700","系统规则"
"40701","陈旧的文件句柄。"
"40702","无法获取服务的单元状态。这意味着 .service 文件丢失"
"40703","服务已进入失败状态，可能尚未启动。"
"11500","Microsoft ftp 规则的分组。"
"11501","新的 FTP 连接。"
"11502","FTP 验证失败。"
"11503","FTP 认证成功。"
"11504","FTP 客户端请求失败。"
"11510","FTP 暴力破解（多次登录失败）。"
"11511","来自同一来源的多次连接尝试。"
"11512","来自同一来源的多个 FTP 错误。"
"18100","窗口规则组。"
"18101","Windows 信息事件。"
"18102","Windows 警告事件。"
"18103","Windows 错误事件。"
"18104","Windows 审核成功事件。"
"18105","Windows 审核失败事件。"
"18106","Windows 登录失败。"
"18107","Windows 登录成功。"
"18108","尝试执行特权失败操作"
"18109","会话重新连接/断开与 winstation 的连接。"
"18110","用户帐户已启用或已创建。"
"18111","用户帐户已更改。"
"18112","用户帐户被禁用或删除。"
"18113","Windows 审核策略已更改。"
"18114","群组帐号已更改"
"18115","普通帐户数据库已更改。"
"18116","用户帐户被锁定（多个登录错误）。"
"18117","Windows 正在关闭。"
"18118","Windows 审核日志已清除。"
"18119","这个用户第一次登录这个系统。"
"18120","Windows 登录尝试（被忽略）。重复。"
"18125","远程访问登录失败。"
"18126","远程访问登录成功。"
"18127","添加/更改/删除计算机帐户。"
"18128","添加/更改/删除组帐户。"
"18129","Windows 文件系统已满。"
"18130","登录失败 - 未知用户或密码错误。"
"18131","登录失败 - 账户登录时间限制违规"
"18132","登录失败 - 当前帐户已禁用。"
"18133","登录失败 - 指定的帐户已过期。"
"18134","登录失败 - 不允许用户登录此计算机。"
"18135","登录失败 - 未授予用户登录类型。"
"18136","登录失败 - 帐户密码已过期。"
"18137","登录失败 - 内部错误。"
"18138","登录失败 - 帐户被锁定。"
"18139","Windows DC 登录失败。"
"18140","系统时间已更改。"
"18141","Windows 意外关闭。"
"18142","用户帐户已解锁。"
"18143","已创建启用安全的组。"
"18144","安全启用组已删除。"
"18145","服务启动类型已更改。"
"18146","应用程序已卸载。"
"18147","已安装应用程序。"
"18148","Windows 正在启动。"
"18149","Windows 用户注销。"
"18200","已创建群组帐户"
"18201","已删除群组帐户"
"18202","已创建启用安全的全局组"
"18203","添加了安全启用的全局组成员"
"18204","删除了启用安全的全局组成员"
"18205","已删除启用安全的全局组"
"18206","已创建启用安全的本地组"
"18207","添加了安全启用的本地组成员"
"18208","安全启用的本地组成员已删除"
"18209","已删除启用安全性的本地组"
"18210","启用安全的本地组已更改"
"18211","启用安全的全局组已更改"
"18212","已创建启用安全的通用组"
"18213","启用安全的通用组已更改"
"18214","添加了启用安全的通用组成员"
"18215","删除了启用安全的通用组成员"
"18216","已删除启用安全的通用组"
"18218","Everyone组已更改"
"18219","企业域控制器组已更改"
"18220","经过身份验证的用户组已更改"
"18221","终端服务器用户组已更改"
"18222","域管理员组已更改"
"18223","域用户组已更改"
"18224","本地用户组无"
"18225","域来宾组已更改"
"18226","域计算机组已更改"
"18227","域控制器组已更改"
"18228","证书出版商组已更改"
"18229","架构管理员组已更改"
"18230","企业管理员组已更改"
"18231","组策略创建者所有者组已更改"
"18232","RAS 和 IAS 服务器组已更改"
"18233","用户组已更改"
"18234","Guest组已更改"
"18235","高级用户组已更改"
"18236","帐户操作员组已更改"
"18237","服务器运营商组已更改"
"18238","打印操作员组已更改"
"18239","备份操作员组已更改"
"18240","复制者组已更改"
"18241","Windows 2000 之前的兼容访问组已更改"
"18242","远程桌面用户组已更改"
"18243","网络配置运营商组已更改"
"18244","传入森林信托建设者组已更改"
"18245","性能监视器用户组已更改"
"18246","性能日志用户组已更改"
"18247","Windows 授权访问组已更改"
"18248","终端服务器许可证服务器组已更改"
"18249","分布式 COM 用户组已更改"
"18250","企业只读域控制器组已更改"
"18251","只读域控制器组已更改"
"18252","密码运营商组已更改"
"18253","允许的 RODC 密码复制组已更改"
"18254","拒绝 RODC 密码复制组已更改"
"18255","事件日志阅读器组已更改"
"18256","证书服务 DCOM 访问组已更改"
"18257","TS 网关登录成功。"
"18258","TS 网关登录失败。"
"18259","TS 网关用户断开连接。"
"18121","Windows 登录成功（已忽略）。"
"18170","解密的Windows DC完整性检查字段失败。"
"18171","Windows DC - 可能的重放攻击。"
"18172","Windows DC - 时钟偏差太大。"
"18180","MS SQL Server 登录失败。"
"18181","MS SQL Server 登录成功。"
"18260","MS Exchange 登录成功。"
"18261","用户注销交换。"
"18151","多次尝试执行同一用户的特权操作失败。"
"18152","多个 Windows 登录失败。"
"18153","多个 Windows 审核失败事件。"
"18154","多个 Windows 错误事件。"
"18155","多个 Windows 警告事件。"
"18156","多次远程访问登录失败。"
"18157","多个 TS 网关登录失败。"
"18158","Chrome 远程桌面尝试 - 访问被拒绝"
"18159","Chrome 远程桌面尝试 - 已连接"
"18160","Chrome 远程桌面尝试 - 已断开连接"
"3600","imapd 规则的分组。"
"3601","Imapd 用户登录失败。"
"3602","Imapd 用户登录。"
"3603","Imapd 用户注销。"
"3651","来自同一源 IP 的多次登录失败。"
"7600","趋势 OSCE 规则的分组。"
"7610","检测并清除/隔离/删除病毒"
"7611","检测到病毒，无法清除。"
"7612","病毒扫描已完成，未检测到错误。"
"7613","病毒扫描通过，发现潜在安全风险。"
"35000","鱿鱼消息分组。"
"35002","鱿鱼通用错误代码。"
"35003","错误的请求/无效的语法。"
"35004","未经授权：尝试访问失败需要授权的文件或目录。"
"35005","禁止：尝试访问禁止的文件或目录。"
"35006","未找到：尝试访问不存在的文件或目录。"
"35007","需要代理身份验证：用户不是有权使用代理。"
"35008","Squid 400 错误代码（请求失败）。"
"35009","鱿鱼 500/600 错误代码（服务器错误）。"
"35010","Squid 503 错误代码（服务器不可用）。"
"35021","尝试访问 Beagle 蠕虫（或变种）文件。"
"35022","尝试访问与蠕虫/木马相关的站点。"
"35023","因 40 倍错误而忽略文件。"
"35051","多次尝试访问被禁止的文件或来自同一源 ip 的目录。"
"35052","多次未经授权尝试使用代理。"
"35053","多个错误请求/无效语法。"
"35054","感染了 W32.Beagle.DP 的机器。"
"35055","多次尝试访问不存在的文件。"
"35056","多次尝试访问蠕虫/木马/病毒相关网站。系统可能已被感染。"
"35057","多个 400 错误代码（请求失败）。"
"35058","多个 500/600 错误代码（服务器错误）。"
"35095","忽略来自同一源 ip 的多次尝试（仅提醒一次）。"
"7300","赛门铁克 AV 规则的分组。"
"7301","来自事件日志的赛门铁克 AV 规则分组。"
"7310","检测到病毒。"
"7320","病毒扫描已更新、已启动或已停止。"
"7500","McAfee Windows AV 规则的分组。"
"7501","McAfee Windows AV 信息事件。"
"7502","McAfee Windows AV 警告事件。"
"7503","McAfee Windows AV 错误事件。"
"7504","McAfee Windows AV - 检测到病毒但未删除。"
"7505","McAfee Windows AV - 检测到病毒并正确删除。"
"7506","McAfee Windows AV - 检测到病毒，文件将被删除。"
"7507","McAfee Windows AV - 扫描已开始或已停止。"
"7508","McAfee Windows AV - 扫描完成，未发现病毒。"
"7509","McAfee Windows AV - 病毒扫描已取消。"
"7510","McAfee Windows AV - 病毒扫描因关机而取消。"
"7511","McAfee Windows AV - 病毒程序或 DAT 更新成功。"
"07512","McAfee Windows AV - 病毒程序或 DAT 更新失败。"
"7513","McAfee Windows AV - 病毒程序或 DAT 更新已取消。"
"7514","检测到 McAfee Windows AV - EICAR 测试文件。"
"7550","多个 McAfee AV 警告事件。"
"30100","Apache 消息分组。"
"30101","Apache 错误消息分组。"
"30102","Apache 警告消息分组。"
"30103","Apache 通知消息分组。"
"30104","Apache 分段错误。"
"30105","尝试访问被禁止的文件或目录。"
"30106","尝试访问禁止的目录索引。"
"30107","红色代码攻击。"
"30108","用户身份验证失败。"
"30109","尝试使用不存在的用户登录。"
"30110","用户身份验证失败。"
"30112","尝试访问不存在的文件（这些文件在 access.log 中报告）。"
"30115","无效的 URI（错误的客户端请求）。"
"30116","来自同一来源的多个无效 URI 请求"
